epoch,train_loss,val_macro_dice,ma_dice,he_dice,ex_dice,se_dice,lr
1,2.1125252967657047,0.011368232900183553,0.0035827384830051973,0.005437519406555403,0.027189052883487174,0.00926362082768644,0.0001
2,1.9897034805874492,0.035691028662532265,0.002829296992616783,0.014970668060355762,0.07099812485737976,0.05396602473977675,0.0001
3,1.9446681405222692,0.05290992915422812,0.0015764070751756525,0.03401190221803164,0.11902077695019596,0.05703063037350922,0.0001
4,1.9141851497250935,0.0677789305787341,0.00021290196344954515,0.023736169306992686,0.19130440933646628,0.0558622417080279,0.0001
5,1.8940017583758333,0.052131578304289924,0.00016897621642902858,0.015698844708361945,0.1536281054097149,0.039030386882653846,0.0001
6,1.8661959670310797,0.051632111065459924,6.36246730455876e-10,0.03205981972226937,0.14248682208803803,0.031981801815285565,0.0001
7,1.8440615576367045,0.08513429154950669,8.747875613183634e-10,0.036459985846711084,0.25045364893269784,0.05362353054383032,0.0001
8,1.82734280131584,0.10867712991757722,9.373096405589e-10,0.03995862114682526,0.29484716912463876,0.0999027284615352,0.0001
9,1.8124680990396544,0.08142580715477162,9.408828272510962e-10,0.013063522399038326,0.24998803914925405,0.06265166612991126,0.0001
10,1.7913090461908385,0.09949413524019643,9.409445690473273e-10,0.010079834692289449,0.28795435587098567,0.09994234945656602,0.0001
11,1.7717198771099711,0.1432242236366859,9.423511293187122e-10,0.013493123400647622,0.35520443965492077,0.20419933054882405,0.0001
12,1.7577289093372435,0.12300106237337935,9.430462584986174e-10,0.015133929021131781,0.3257922704403349,0.15107804908900443,0.0001
13,1.7445861212042875,0.143362514276697,9.43242282894644e-10,0.06062118332906543,0.33523439942454497,0.17759447340993526,0.0001
14,1.7272924129353013,0.12322041461742281,9.433023882773897e-10,0.03377270066900894,0.25591406229526004,0.2031948945621199,0.0001
15,1.7190966107124506,0.15732932198092525,9.432703127071429e-10,0.08009563718766048,0.4063765074122612,0.14284514238050897,0.0001
16,1.7076463865679363,0.19609477202892617,9.432703127071429e-10,0.10121634445899162,0.3267395259551236,0.35642321675831906,0.0001
17,1.6899296461149704,0.19676248201020374,9.433606353032942e-10,0.13620607086064818,0.2754908931665241,0.37535296307028204,0.0001
18,1.6779758098513582,0.18916780230903218,9.433606353032942e-10,0.13463923519279347,0.32986192719632595,0.2921700459036487,0.0001
19,1.6693554395853087,0.19122710383709665,9.433606353032942e-10,0.12369023199030536,0.39827926949468256,0.242938912920038,0.0001
20,1.6504337649012721,0.18667118778208874,9.433606353032942e-10,0.13445682034073206,0.3839665017165608,0.22826142812770145,0.0001
21,1.6388114940288454,0.17298240974960813,9.433606353032942e-10,0.14968737344188357,0.3796432807882987,0.16259898382488966,0.0001
22,1.6300230552983839,0.23568660396998503,9.433606353032942e-10,0.15575170214076184,0.421132173560487,0.36586253923533063,0.0001
23,1.6157018001689467,0.24114968313356855,9.433606353032942e-10,0.1584560850628064,0.43012677320277354,0.37601587332533365,0.0001
24,1.6098352781561918,0.19296196306948693,9.433606353032942e-10,0.15242516394652803,0.39585060946073214,0.22357207792732695,0.0001
25,1.5997345364371012,0.1870921346601056,9.433606353032942e-10,0.1811312740225403,0.3908867136143512,0.17635055006017028,0.0001
26,1.5793737256249716,0.25966486445350406,9.433606353032942e-10,0.20396775648208998,0.44517582033423336,0.3895158800543323,0.0001
27,1.582290072773778,0.21302492173082577,9.433606353032942e-10,0.22072138845329725,0.38624290197244376,0.24513539555420136,0.0001
28,1.5575072571288708,0.2534736633000079,9.433606353032942e-10,0.22381042253997172,0.4274620024575724,0.3626222272591269,0.0001
29,1.5509259534436604,0.22784293256365604,9.433606353032942e-10,0.19734518337140797,0.41244256516160793,0.30158398077824755,0.0001
30,1.5443293660186057,0.24236439077257893,9.433606353032942e-10,0.23781923818356246,0.4320134744376739,0.2996248495257187,0.0001
31,1.525148355683615,0.23083891921518962,9.433606353032942e-10,0.21974922838790575,0.44229505217942827,0.26131139535006387,5e-05
32,1.5187556050544562,0.2817413805904826,9.433606353032942e-10,0.2658065344023367,0.46846367205535944,0.39269531496087373,5e-05
33,1.496131888655729,0.2797093131038324,9.433606353032942e-10,0.24687856462557187,0.45176525762592856,0.4201934292204685,5e-05
34,1.4966775677924933,0.27341600182229703,9.433606353032942e-10,0.26057068181329407,0.4370521738492166,0.3960411506833168,5e-05
35,1.5016937061797742,0.24356961393202992,9.433606353032942e-10,0.2804261713661848,0.450879742534072,0.2429725408845023,5e-05
36,1.483461856842041,0.2681187875653221,9.433606353032942e-10,0.2837726591606199,0.4407561940529136,0.34794629610439426,5e-05
37,1.480548659036326,0.2873397907803296,9.433606353032942e-10,0.2712974540763788,0.45964109363030714,0.41842061447127193,5e-05
38,1.4659453491831935,0.29211841820453627,9.433606353032942e-10,0.33507024881772607,0.4480657314046631,0.38533769165239523,5e-05
39,1.4611142430194588,0.26906607954574074,9.433606353032942e-10,0.2957258829094336,0.4712709097321929,0.30926752459797585,5e-05
40,1.4464630027149998,0.279192962065076,9.433606353032942e-10,0.3575440166664736,0.45310483364074516,0.30612299700972456,5e-05
