Lesion,Threshold,V3_Dice,V2_Dice,Dice_Delta,V3_IoU,V2_IoU,V3_Precision,V3_Recall
Microaneurysm,0.28,0.031105103124866695,0.0862,-0.055094896875133303,0.015949920951200406,0.0471,0.018158239227532024,0.1652657562312081
Hemorrhage,0.7,0.3727083574464109,0.3167,0.05600835744641092,0.25159692716628873,0.2057,0.3881022468242915,0.46968514215391605
Hard Exudate,0.7,0.4659958138892642,0.4196,0.046395813889264226,0.31378078538603327,0.2947,0.4208658301694915,0.6952293528252423
Soft Exudate,0.7,0.31609959375384156,0.3098,0.006299593753841537,0.24527037147344902,0.2626,0.34404523162680195,0.8206988194347608
