class,threshold,val_dice,val_iou,val_precision,val_recall
Microaneurysm,0.2,0.03061478256726695,0.015686701262495002,0.01687633985501734,0.26685436474425417
Microaneurysm,0.22,0.03617292675860382,0.018651441180335834,0.021254325290559758,0.20087204862049218
Microaneurysm,0.24,0.04131791941716929,0.02143213703246602,0.026493807545687243,0.16058658901907277
Microaneurysm,0.26,0.041564395718663986,0.021637138571729126,0.02960564209216278,0.12788894660469083
Microaneurysm,0.28,0.04191863435563688,0.021841848103106954,0.033868275849385426,0.10466404945872987
Microaneurysm,0.3,0.04055995707159242,0.02110007689198616,0.037599841428950946,0.07958785667787659
Microaneurysm,0.32,0.037857188182843,0.019647094924136733,0.04175791043721578,0.05625858488969701
Microaneurysm,0.34,0.03180746974860134,0.016382297543499375,0.04675611247175233,0.03436022403152584
Microaneurysm,0.36,0.02203996823419374,0.011284878957821577,0.15059211157262398,0.01808114468952951
Microaneurysm,0.38,0.010031974728499642,0.005092414304731247,0.17536818806731833,0.006741741752763234
Microaneurysm,0.4,0.002774259064950396,0.0014006307808478306,0.1320346717725695,0.001503443709010275
Microaneurysm,0.42,0.0004551152892691999,0.00022812914989921016,0.6477272925426117,0.0002322080720898321
Microaneurysm,0.44,9.433458261751885e-10,9.433458261751885e-10,0.9090909181818173,9.433606353032942e-10
Microaneurysm,0.46,9.433606353032942e-10,9.433606353032942e-10,1.0,9.433606353032942e-10
Microaneurysm,0.48,9.433606353032942e-10,9.433606353032942e-10,1.0,9.433606353032942e-10
Microaneurysm,0.5,9.433606353032942e-10,9.433606353032942e-10,1.0,9.433606353032942e-10
Microaneurysm,0.52,9.433606353032942e-10,9.433606353032942e-10,1.0,9.433606353032942e-10
Microaneurysm,0.54,9.433606353032942e-10,9.433606353032942e-10,1.0,9.433606353032942e-10
Microaneurysm,0.56,9.433606353032942e-10,9.433606353032942e-10,1.0,9.433606353032942e-10
Microaneurysm,0.58,9.433606353032942e-10,9.433606353032942e-10,1.0,9.433606353032942e-10
Microaneurysm,0.6,9.433606353032942e-10,9.433606353032942e-10,1.0,9.433606353032942e-10
Microaneurysm,0.62,9.433606353032942e-10,9.433606353032942e-10,1.0,9.433606353032942e-10
Microaneurysm,0.64,9.433606353032942e-10,9.433606353032942e-10,1.0,9.433606353032942e-10
Microaneurysm,0.66,9.433606353032942e-10,9.433606353032942e-10,1.0,9.433606353032942e-10
Microaneurysm,0.68,9.433606353032942e-10,9.433606353032942e-10,1.0,9.433606353032942e-10
Microaneurysm,0.7,9.433606353032942e-10,9.433606353032942e-10,1.0,9.433606353032942e-10
Hemorrhage,0.2,0.2506191039573269,0.155945159805328,0.18058757874062203,0.6687420143504449
Hemorrhage,0.22,0.26216970958497,0.16372026243108337,0.19209452836850904,0.6558031625473687
Hemorrhage,0.24,0.2731065732139626,0.1712066373298138,0.20327834478608597,0.6395853838743745
Hemorrhage,0.26,0.2833481542915966,0.1783259481478909,0.21454573941012703,0.6234682216510237
Hemorrhage,0.28,0.2886799611045697,0.1822787425522197,0.22329046156542817,0.6009374374507547
Hemorrhage,0.3,0.2914931454081748,0.18451527566315987,0.2309512212536746,0.5793857378837072
Hemorrhage,0.32,0.2971917728010091,0.18879672131219058,0.24170106685185944,0.5675916063280586
Hemorrhage,0.34,0.3042401508339252,0.19382228433965498,0.2554564817429781,0.5592710430765994
Hemorrhage,0.36,0.31002911911025605,0.19809271460683167,0.2673827958500083,0.5525222276671126
Hemorrhage,0.38,0.31510148471345834,0.2018495501269733,0.2782987055605514,0.5464904670279245
Hemorrhage,0.4,0.31933331434563594,0.2051223906629181,0.2886154086059241,0.540511324491204
Hemorrhage,0.42,0.32318815709310594,0.20811162441100695,0.29641033143383433,0.5356236053786231
Hemorrhage,0.44,0.3256341881046406,0.21002067800514193,0.3026649143633799,0.5300774872037866
Hemorrhage,0.46,0.32830770021443934,0.21213867835817377,0.3093229682654087,0.5239977324828137
Hemorrhage,0.48,0.3314796380337274,0.21465960453714075,0.3164475780561213,0.5189642638643522
Hemorrhage,0.5,0.33507024881772607,0.2176100814928473,0.3247018604582866,0.5132870087087964
Hemorrhage,0.52,0.33824832167978236,0.22022483721811595,0.33240416680290436,0.5076972287821011
Hemorrhage,0.54,0.34186914457414225,0.22330029401085094,0.340950906258818,0.5028354718912234
Hemorrhage,0.56,0.3456996266575955,0.22676402995147996,0.35033875541789655,0.4975892177093477
Hemorrhage,0.58,0.3500231418205039,0.23059218290896172,0.3606941768636395,0.4915722589164698
Hemorrhage,0.6,0.3530589501099164,0.23348866945111857,0.3694152688409409,0.4868709931241258
Hemorrhage,0.62,0.3559475693294968,0.23641437933210982,0.3784166565272881,0.48091953661394754
Hemorrhage,0.64,0.35694554345816665,0.2377310664933237,0.38538589019241626,0.47467112850172
Hemorrhage,0.66,0.3566276674925506,0.23759895513278104,0.3914093770070085,0.4675526699936381
Hemorrhage,0.68,0.35788013466738056,0.23878258430603214,0.3996182222343682,0.4628670917617557
Hemorrhage,0.7,0.3578852564384648,0.239036186642167,0.4072919837210185,0.45603470983530303
Hard Exudate,0.2,0.38161554689247285,0.24437701433930703,0.2661571060386654,0.7670734618323728
Hard Exudate,0.22,0.3908672865355237,0.2515701620482668,0.27650914876549987,0.760733083027479
Hard Exudate,0.24,0.39767695418849996,0.25694029442473554,0.28476695018997406,0.7535734633788749
Hard Exudate,0.26,0.4027617111295363,0.2609595774441119,0.291281218358915,0.7461464633525499
Hard Exudate,0.28,0.40743714311738927,0.2646704121272048,0.2976362746428103,0.7386141858407999
